 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Silicon.txt

 Ion = Hydrogen [1] , Mass = 3.016 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   9.00 MeV   1.966E+01  1.352E-02  278.90 um    12.12 um     8.68 um  
  10.00 MeV   1.824E+01  1.231E-02  331.59 um    14.39 um    10.16 um  
  11.00 MeV   1.704E+01  1.131E-02  388.20 um    16.64 um    11.74 um  
  12.00 MeV   1.600E+01  1.047E-02  448.65 um    18.89 um    13.41 um  
  13.00 MeV   1.509E+01  9.747E-03  512.87 um    21.16 um    15.17 um  
  14.00 MeV   1.430E+01  9.123E-03  580.82 um    23.45 um    17.03 um  
  15.00 MeV   1.359E+01  8.578E-03  652.42 um    25.76 um    18.97 um  
  16.00 MeV   1.296E+01  8.098E-03  727.64 um    28.10 um    21.00 um  
  17.00 MeV   1.239E+01  7.670E-03  806.42 um    30.48 um    23.11 um  
  18.00 MeV   1.187E+01  7.288E-03  888.74 um    32.89 um    25.31 um  
  20.00 MeV   1.097E+01  6.631E-03    1.06 mm    41.64 um    29.96 um  
  22.50 MeV   1.004E+01  5.966E-03    1.30 mm    54.12 um    36.23 um  
  25.00 MeV   9.264E+00  5.428E-03    1.56 mm    65.96 um    43.00 um  
  27.50 MeV   8.615E+00  4.982E-03    1.84 mm    77.55 um    50.25 um  
  30.00 MeV   8.059E+00  4.606E-03    2.14 mm    89.07 um    57.97 um  
  32.50 MeV   7.578E+00  4.286E-03    2.46 mm   100.62 um    66.16 um  
  35.00 MeV   7.156E+00  4.009E-03    2.80 mm   112.26 um    74.80 um  
  37.50 MeV   6.784E+00  3.767E-03    3.16 mm   124.02 um    83.89 um  
  40.00 MeV   6.453E+00  3.553E-03    3.53 mm   135.93 um    93.42 um  
  45.00 MeV   5.888E+00  3.195E-03    4.34 mm   179.45 um   113.79 um  
  50.00 MeV   5.423E+00  2.904E-03    5.23 mm   220.45 um   135.84 um  
  55.00 MeV   5.033E+00  2.664E-03    6.18 mm   260.48 um   159.54 um  
  60.00 MeV   4.701E+00  2.462E-03    7.21 mm   300.24 um   184.86 um  
  65.00 MeV   4.414E+00  2.289E-03    8.31 mm   340.07 um   211.74 um  
  70.00 MeV   4.165E+00  2.140E-03    9.47 mm   380.19 um   240.17 um  
  80.00 MeV   3.749E+00  1.896E-03   12.00 mm   526.10 um   301.55 um  
  90.00 MeV   3.418E+00  1.703E-03   14.79 mm   662.15 um   368.78 um  
