 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Silicon.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 500.00 keV   5.837E+01  5.522E-02    6.09 um     3159 A      4472 A   
 550.00 keV   5.555E+01  5.100E-02    6.96 um     3535 A      4968 A   
 600.00 keV   5.306E+01  4.743E-02    7.87 um     3912 A      5483 A   
 650.00 keV   5.085E+01  4.435E-02    8.82 um     4289 A      6015 A   
 700.00 keV   4.887E+01  4.167E-02    9.82 um     4669 A      6565 A   
 800.00 keV   4.547E+01  3.724E-02   11.92 um     5822 A      7713 A   
 900.00 keV   4.265E+01  3.371E-02   14.17 um     6925 A      8924 A   
   1.00 MeV   4.027E+01  3.082E-02   16.57 um     8003 A      1.02 um  
   1.10 MeV   3.820E+01  2.842E-02   19.10 um     9069 A      1.15 um  
   1.20 MeV   3.615E+01  2.639E-02   21.77 um     1.01 um     1.29 um  
   1.30 MeV   3.440E+01  2.465E-02   24.59 um     1.12 um     1.43 um  
   1.40 MeV   3.286E+01  2.313E-02   27.54 um     1.23 um     1.58 um  
   1.50 MeV   3.146E+01  2.180E-02   30.63 um     1.34 um     1.74 um  
   1.60 MeV   3.019E+01  2.062E-02   33.85 um     1.45 um     1.90 um  
   1.70 MeV   2.903E+01  1.958E-02   37.21 um     1.57 um     2.06 um  
   1.80 MeV   2.796E+01  1.864E-02   40.70 um     1.68 um     2.23 um  
   2.00 MeV   2.607E+01  1.702E-02   48.06 um     2.05 um     2.59 um  
   2.25 MeV   2.406E+01  1.537E-02   57.99 um     2.57 um     3.07 um  
   2.50 MeV   2.238E+01  1.402E-02   68.70 um     3.08 um     3.58 um  
   2.75 MeV   2.094E+01  1.291E-02   80.19 um     3.58 um     4.12 um  
   3.00 MeV   1.970E+01  1.197E-02   92.43 um     4.08 um     4.69 um  
   3.25 MeV   1.861E+01  1.116E-02  105.42 um     4.58 um     5.30 um  
   3.50 MeV   1.765E+01  1.046E-02  119.14 um     5.08 um     5.93 um  
   3.75 MeV   1.679E+01  9.849E-03  133.59 um     5.60 um     6.59 um  
   4.00 MeV   1.603E+01  9.308E-03  148.75 um     6.12 um     7.28 um  
   4.50 MeV   1.471E+01  8.394E-03  181.15 um     7.87 um     8.75 um  
   5.00 MeV   1.362E+01  7.652E-03  216.32 um     9.55 um    10.32 um  
   5.50 MeV   1.269E+01  7.036E-03  254.18 um    11.20 um    12.01 um  
   6.00 MeV   1.189E+01  6.516E-03  294.70 um    12.85 um    13.80 um  
   6.50 MeV   1.120E+01  6.072E-03  337.83 um    14.50 um    15.70 um  
   7.00 MeV   1.059E+01  5.687E-03  383.52 um    16.18 um    17.69 um  
   8.00 MeV   9.576E+00  5.053E-03  482.39 um    21.93 um    21.99 um  
   9.00 MeV   8.754E+00  4.552E-03  591.16 um    27.36 um    26.68 um  
  10.00 MeV   8.075E+00  4.145E-03  709.61 um    32.70 um    31.74 um  
  11.00 MeV   7.504E+00  3.808E-03  837.54 um    38.04 um    37.18 um  
  12.00 MeV   7.017E+00  3.524E-03  974.80 um    43.43 um    42.97 um  
  13.00 MeV   6.595E+00  3.281E-03    1.12 mm    48.89 um    49.13 um  
  14.00 MeV   6.225E+00  3.071E-03    1.28 mm    54.44 um    55.63 um  
  15.00 MeV   5.900E+00  2.887E-03    1.44 mm    60.09 um    62.47 um  
  16.00 MeV   5.610E+00  2.726E-03    1.61 mm    65.84 um    69.65 um  
  17.00 MeV   5.350E+00  2.582E-03    1.80 mm    71.69 um    77.17 um  
  18.00 MeV   5.116E+00  2.453E-03    1.99 mm    77.66 um    85.01 um  
  20.00 MeV   4.711E+00  2.232E-03    2.39 mm    98.57 um   101.66 um  
  22.50 MeV   4.294E+00  2.008E-03    2.95 mm   128.37 um   124.25 um  
  25.00 MeV   3.953E+00  1.826E-03    3.55 mm   156.85 um   148.74 um  
  27.50 MeV   3.667E+00  1.676E-03    4.20 mm   184.92 um   175.10 um  
  30.00 MeV   3.425E+00  1.550E-03    4.91 mm   212.98 um   203.26 um  
  32.50 MeV   3.216E+00  1.442E-03    5.66 mm   241.24 um   233.20 um  
  35.00 MeV   3.034E+00  1.349E-03    6.46 mm   269.81 um   264.86 um  
  37.50 MeV   2.875E+00  1.267E-03    7.30 mm   298.76 um   298.22 um  
  40.00 MeV   2.733E+00  1.195E-03    8.19 mm   328.14 um   333.22 um  
  45.00 MeV   2.493E+00  1.074E-03   10.10 mm   432.33 um   408.10 um  
  50.00 MeV   2.297E+00  9.767E-04   12.18 mm   530.92 um   489.22 um  
  55.00 MeV   2.133E+00  8.958E-04   14.43 mm   627.43 um   576.37 um  
  60.00 MeV   1.995E+00  8.278E-04   16.85 mm   723.38 um   669.33 um  
  65.00 MeV   1.877E+00  7.698E-04   19.42 mm   819.58 um   767.92 um  
  70.00 MeV   1.774E+00  7.196E-04   22.16 mm   916.43 um   871.94 um  
  80.00 MeV   1.604E+00  6.373E-04   28.07 mm     1.26 mm     1.10 mm  
  90.00 MeV   1.469E+00  5.725E-04   34.56 mm     1.58 mm     1.34 mm  
 100.00 MeV   1.359E+00  5.201E-04   41.62 mm     1.89 mm     1.60 mm  
 110.00 MeV   1.269E+00  4.768E-04   49.21 mm     2.20 mm     1.88 mm  
 120.00 MeV   1.192E+00  4.404E-04   57.32 mm     2.50 mm     2.18 mm  
 130.00 MeV   1.126E+00  4.093E-04   65.93 mm     2.81 mm     2.49 mm  
 140.00 MeV   1.070E+00  3.825E-04   75.01 mm     3.12 mm     2.82 mm  
 150.00 MeV   1.020E+00  3.591E-04   84.55 mm     3.43 mm     3.16 mm  
 160.00 MeV   9.768E-01  3.385E-04   94.54 mm     3.74 mm     3.52 mm  
 170.00 MeV   9.381E-01  3.202E-04  104.96 mm     4.05 mm     3.88 mm  
 180.00 MeV   9.035E-01  3.039E-04  115.79 mm     4.37 mm     4.26 mm  
 200.00 MeV   8.443E-01  2.759E-04  138.63 mm     5.50 mm     5.06 mm  
 225.00 MeV   7.845E-01  2.476E-04  169.27 mm     7.08 mm     6.11 mm  
 250.00 MeV   7.364E-01  2.248E-04  202.08 mm     8.55 mm     7.22 mm  
 275.00 MeV   6.969E-01  2.059E-04  236.90 mm     9.95 mm     8.39 mm  
 300.00 MeV   6.638E-01  1.901E-04  273.57 mm    11.31 mm     9.59 mm  
 325.00 MeV   6.358E-01  1.766E-04  311.96 mm    12.64 mm    10.84 mm  
 350.00 MeV   6.118E-01  1.650E-04  351.95 mm    13.95 mm    12.13 mm  
 375.00 MeV   5.910E-01  1.548E-04  393.43 mm    15.23 mm    13.44 mm  
 400.00 MeV   5.728E-01  1.459E-04  436.30 mm    16.50 mm    14.78 mm  
 450.00 MeV   5.427E-01  1.309E-04  525.80 mm    20.98 mm    17.54 mm  
 500.00 MeV   5.188E-01  1.187E-04  619.84 mm    25.03 mm    20.37 mm  
 550.00 MeV   4.995E-01  1.087E-04  717.87 mm    28.80 mm    23.25 mm  
 600.00 MeV   4.837E-01  1.003E-04  819.40 mm    32.38 mm    26.18 mm  
 650.00 MeV   4.705E-01  9.318E-05  924.02 mm    35.79 mm    29.13 mm  
 700.00 MeV   4.593E-01  8.701E-05    1.03 m     39.08 mm    32.10 mm  
 800.00 MeV   4.419E-01  7.689E-05    1.25 m     50.43 mm    38.06 mm  
 900.00 MeV   4.289E-01  6.895E-05    1.48 m     60.29 mm    44.01 mm  
   1.00 GeV   4.191E-01  6.253E-05    1.72 m     69.20 mm    49.91 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  4.3083E-03                keV / (ug/cm2) 
  4.3083E-03                MeV / (mg/cm2) 
  4.3083E+00                keV / (mg/cm2) 
  2.0093E-01                 eV / (1E15 atoms/cm2)
  1.2774E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
