 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Rubidium in Aluminum.txt

 Ion = Rubidium [37] , Mass = 95.934 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 275.00 MeV   1.173E+04  1.643E+01   32.02 um     9121 A      7455 A   
 300.00 MeV   1.171E+04  1.525E+01   34.15 um     9620 A      7564 A   
 325.00 MeV   1.166E+04  1.424E+01   36.28 um     1.01 um     7668 A   
 350.00 MeV   1.158E+04  1.336E+01   38.43 um     1.06 um     7769 A   
 375.00 MeV   1.149E+04  1.259E+01   40.60 um     1.10 um     7867 A   
 400.00 MeV   1.138E+04  1.191E+01   42.78 um     1.14 um     7963 A   
 450.00 MeV   1.113E+04  1.076E+01   47.22 um     1.31 um     8151 A   
 500.00 MeV   1.086E+04  9.821E+00   51.76 um     1.46 um     8336 A   
 550.00 MeV   1.058E+04  9.041E+00   56.42 um     1.60 um     8519 A   
 600.00 MeV   1.030E+04  8.383E+00   61.20 um     1.74 um     8703 A   
 650.00 MeV   1.003E+04  7.819E+00   66.12 um     1.88 um     8887 A   
 700.00 MeV   9.758E+03  7.329E+00   71.17 um     2.01 um     9074 A   
 800.00 MeV   9.252E+03  6.522E+00   81.69 um     2.50 um     9457 A   
 900.00 MeV   8.791E+03  5.883E+00   92.77 um     2.96 um     9854 A   
   1.00 GeV   8.374E+03  5.364E+00  104.42 um     3.39 um     1.03 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  3.7011E-03                keV / (ug/cm2) 
  3.7011E-03                MeV / (mg/cm2) 
  3.7011E+00                keV / (mg/cm2) 
  1.6582E-01                 eV / (1E15 atoms/cm2)
  2.1290E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
