 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Aluminum.txt

 Ion = Strontium [38] , Mass = 93.915 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.25 MeV   1.441E+03  6.416E+02    1.07 um     1528 A      1480 A   
   2.50 MeV   1.526E+03  6.033E+02    1.19 um     1631 A      1605 A   
   2.75 MeV   1.611E+03  5.700E+02    1.30 um     1726 A      1724 A   
   3.00 MeV   1.696E+03  5.407E+02    1.41 um     1813 A      1837 A   
   3.25 MeV   1.782E+03  5.147E+02    1.52 um     1893 A      1944 A   
   3.50 MeV   1.868E+03  4.913E+02    1.62 um     1968 A      2046 A   
   3.75 MeV   1.955E+03  4.703E+02    1.72 um     2036 A      2142 A   
   4.00 MeV   2.042E+03  4.513E+02    1.82 um     2100 A      2233 A   
   4.50 MeV   2.217E+03  4.181E+02    2.01 um     2221 A      2402 A   
   5.00 MeV   2.391E+03  3.900E+02    2.19 um     2325 A      2554 A   
   5.50 MeV   2.564E+03  3.658E+02    2.36 um     2416 A      2691 A   
   6.00 MeV   2.734E+03  3.449E+02    2.52 um     2496 A      2815 A   
   6.50 MeV   2.900E+03  3.265E+02    2.68 um     2566 A      2929 A   
   7.00 MeV   3.062E+03  3.102E+02    2.83 um     2629 A      3032 A   
   8.00 MeV   3.370E+03  2.825E+02    3.11 um     2750 A      3216 A   
   9.00 MeV   3.657E+03  2.598E+02    3.37 um     2849 A      3372 A   
